0.015 3.12267e-09 4.43578e-09 3.56027e-09 2.50061e-09 4.04531e-09 2.16159e-09 6.04819e-09 3.59402e-09 3.33397e-09 3.81969e-09 3.16268e-09 5.16597e-09 7.42177e-09 4.94021e-09 5.68162e-09 3.99409e-09 5.70169e-09 3.41178e-09 4.40084e-09 5.76521e-09 2.60907e-09 2.92874e-09 
0.016 3.28655e-09 4.75677e-09 3.75878e-09 2.59249e-09 4.27529e-09 2.21735e-09 6.47384e-09 3.80366e-09 3.51296e-09 4.04188e-09 3.3028e-09 5.55379e-09 7.99535e-09 5.26938e-09 6.09466e-09 4.23004e-09 6.11417e-09 3.58185e-09 4.67053e-09 6.19842e-09 2.69527e-09 3.05115e-09 
0.017 3.46169e-09 5.10069e-09 3.9694e-09 2.69035e-09 4.51707e-09 2.27676e-09 6.92194e-09 4.02685e-09 3.70301e-09 4.27741e-09 3.44961e-09 5.96775e-09 8.60133e-09 5.61783e-09 6.5323e-09 4.4795e-09 6.55069e-09 3.76063e-09 4.95462e-09 6.6587e-09 2.78511e-09 3.17968e-09 
0.018 3.64875e-09 5.4689e-09 4.19286e-09 2.79452e-09 4.7713e-09 2.34003e-09 7.39378e-09 4.26437e-09 3.90472e-09 4.52712e-09 3.60347e-09 6.40942e-09 9.24166e-09 5.98679e-09 6.996e-09 4.74328e-09 7.01265e-09 3.94856e-09 5.25393e-09 7.14765e-09 2.8788e-09 3.31466e-09 
0.019 3.84845e-09 5.86283e-09 4.4299e-09 2.90539e-09 5.03869e-09 2.40738e-09 7.89076e-09 4.51707e-09 4.11873e-09 4.79184e-09 3.7648e-09 6.88044e-09 9.91842e-09 6.37757e-09 7.4873e-09 5.0222e-09 7.50149e-09 4.14615e-09 5.56929e-09 7.66699e-09 2.97651e-09 3.45642e-09 
0.02 4.06155e-09 6.28399e-09 4.68133e-09 3.02333e-09 5.31997e-09 2.47902e-09 8.41432e-09 4.78584e-09 4.34571e-09 5.07251e-09 3.93403e-09 7.38259e-09 1.06338e-08 6.79158e-09 8.00785e-09 5.31715e-09 8.01879e-09 4.35389e-09 5.90159e-09 8.21851e-09 3.07845e-09 3.60531e-09 
0.021 4.28885e-09 6.73398e-09 4.94801e-09 3.14876e-09 5.61593e-09 2.55522e-09 8.96602e-09 5.07162e-09 4.58638e-09 5.37008e-09 4.1116e-09 7.91774e-09 1.13901e-08 7.23028e-09 8.55939e-09 5.62907e-09 8.56617e-09 4.57234e-09 6.25179e-09 8.80414e-09 3.18486e-09 3.76173e-09 
0.022 4.5312e-09 7.21451e-09 5.23083e-09 3.28211e-09 5.92739e-09 2.63622e-09 9.54747e-09 5.37543e-09 4.84148e-09 5.68558e-09 4.298e-09 8.48784e-09 1.21898e-08 7.69523e-09 9.14373e-09 5.95894e-09 9.14537e-09 4.80207e-09 6.62088e-09 9.42588e-09 3.29594e-09 3.92606e-09 
0.023 4.7895e-09 7.72737e-09 5.53072e-09 3.42383e-09 6.25522e-09 2.72229e-09 1.01604e-08 5.69831e-09 5.11183e-09 6.02009e-09 4.49373e-09 9.09501e-09 1.30354e-08 8.18807e-09 9.76283e-09 6.3078e-09 9.75822e-09 5.04368e-09 7.0099e-09 1.00859e-08 3.41194e-09 4.09872e-09 
0.024 5.06471e-09 8.27445e-09 5.84871e-09 3.57442e-09 6.60036e-09 2.81371e-09 1.08066e-08 6.0414e-09 5.39825e-09 6.37474e-09 4.69931e-09 9.74145e-09 1.39298e-08 8.71057e-09 1.04187e-08 6.67677e-09 1.04066e-08 5.2978e-09 7.41997e-09 1.07864e-08 3.53313e-09 4.28015e-09 
0.025 5.35782e-09 8.85778e-09 6.18585e-09 3.73438e-09 6.96377e-09 2.91079e-09 1.14881e-08 6.4059e-09 5.70164e-09 6.75076e-09 4.91531e-09 1.04295e-08 1.48758e-08 9.26456e-09 1.11136e-08 7.06701e-09 1.10927e-08 5.5651e-09 7.85226e-09 1.15298e-08 3.65975e-09 4.47083e-09 
0.026 5.66991e-09 9.47948e-09 6.54326e-09 3.90426e-09 7.34648e-09 3.01386e-09 1.22067e-08 6.79306e-09 6.02294e-09 7.14942e-09 5.14231e-09 1.11617e-08 1.58764e-08 9.85201e-09 1.18497e-08 7.47976e-09 1.18185e-08 5.8463e-09 8.30802e-09 1.23186e-08 3.79211e-09 4.67124e-09 
0.027 6.0021e-09 1.01418e-08 6.92214e-09 4.08463e-09 7.7496e-09 3.12323e-09 1.29648e-08 7.20422e-09 6.36316e-09 7.57209e-09 5.38096e-09 1.19406e-08 1.69349e-08 1.0475e-08 1.26296e-08 7.91631e-09 1.25864e-08 6.14215e-09 8.78856e-09 1.31556e-08 3.9305e-09 4.8819e-09 
0.028 6.3556e-09 1.08472e-08 7.32374e-09 4.27611e-09 8.17425e-09 3.23929e-09 1.37645e-08 7.64081e-09 6.72333e-09 8.02019e-09 5.6319e-09 1.27691e-08 1.80548e-08 1.11357e-08 1.34556e-08 8.37807e-09 1.33988e-08 6.45342e-09 9.29526e-09 1.40435e-08 4.07523e-09 5.10338e-09 
0.029 6.73166e-09 1.15981e-08 7.7494e-09 4.47933e-09 8.62168e-09 3.36239e-09 1.46083e-08 8.10434e-09 7.10459e-09 8.49526e-09 5.89583e-09 1.36501e-08 1.92395e-08 1.18365e-08 1.43307e-08 8.86649e-09 1.42582e-08 6.78096e-09 9.82959e-09 1.49854e-08 4.22665e-09 5.33624e-09 
0.03 7.13163e-09 1.23972e-08 8.20052e-09 4.69498e-09 9.09315e-09 3.49295e-09 1.54986e-08 8.59639e-09 7.5081e-09 8.9989e-09 6.1735e-09 1.45867e-08 2.04931e-08 1.25798e-08 1.52576e-08 9.38311e-09 1.51673e-08 7.12565e-09 1.03931e-08 1.59844e-08 4.3851e-09 5.58109e-09 
0.031 7.55694e-09 1.32474e-08 8.6786e-09 4.92378e-09 9.59006e-09 3.63139e-09 1.64383e-08 9.11867e-09 7.93513e-09 9.53282e-09 6.46569e-09 1.55823e-08 2.18195e-08 1.33682e-08 1.62394e-08 9.92958e-09 1.61291e-08 7.48841e-09 1.09874e-08 1.70439e-08 4.55096e-09 5.83861e-09 
0.032 3.4925e-09 6.29955e-09 3.98684e-09 2.19193e-09 4.34194e-09 1.56535e-09 7.59311e-09 4.22622e-09 3.62448e-09 4.39434e-09 2.85557e-09 7.39919e-09 1.02218e-08 6.23001e-09 7.62051e-09 4.56847e-09 7.53377e-09 3.35208e-09 5.02406e-09 8.04314e-09 1.94493e-09 2.57131e-09 
0.033 3.7236e-09 6.76219e-09 4.24282e-09 2.31499e-09 4.60143e-09 1.63957e-09 8.08695e-09 4.50792e-09 3.85123e-09 4.68078e-09 3.00723e-09 7.93933e-09 1.09272e-08 6.65433e-09 8.14689e-09 4.8599e-09 8.04529e-09 3.54064e-09 5.33596e-09 8.61314e-09 2.02924e-09 2.70474e-09 
0.034 3.97041e-09 7.2564e-09 4.51545e-09 2.44615e-09 4.87647e-09 1.71861e-09 8.61104e-09 4.80838e-09 4.09231e-09 4.98603e-09 3.16778e-09 8.5161e-09 1.16775e-08 7.1069e-09 8.70736e-09 5.16982e-09 8.58917e-09 3.74014e-09 5.66672e-09 9.22063e-09 2.11803e-09 2.84584e-09 
0.035 4.23397e-09 7.78421e-09 4.80579e-09 2.58592e-09 5.16802e-09 1.80278e-09 9.16729e-09 5.12881e-09 4.34861e-09 5.31131e-09 3.33777e-09 9.1319e-09 1.24758e-08 7.58959e-09 9.30408e-09 5.49941e-09 9.16744e-09 3.95126e-09 6.01748e-09 9.868e-09 2.21157e-09 2.99505e-09 
0.036 4.51533e-09 8.34776e-09 5.11499e-09 2.73486e-09 5.47711e-09 1.89241e-09 9.75771e-09 5.47052e-09 4.62107e-09 5.65791e-09 3.51779e-09 9.78927e-09 1.33251e-08 8.10439e-09 9.93937e-09 5.84991e-09 9.78226e-09 4.17468e-09 6.38948e-09 1.05578e-08 2.31013e-09 3.15287e-09 
0.037 4.81567e-09 8.94936e-09 5.44425e-09 2.89355e-09 5.80482e-09 1.98782e-09 1.03845e-08 5.83489e-09 4.91069e-09 6.02723e-09 3.70845e-09 1.04909e-08 1.42286e-08 8.65343e-09 1.06157e-08 6.22265e-09 1.04359e-08 4.41114e-09 6.78404e-09 1.12928e-08 2.41402e-09 3.31981e-09 
